gene_claim_name	gene_name	entrez_id	gene_claim_source
FN3KRP	FN3KRP	79672	Pharos
ENSG00000163788	SNRK	54861	HingoraniCasas
ENSG00000242593			Ensembl
ENSG00000225347	SLC25A5P8	392301	Ensembl
ENSG00000163126	ANKRD23	200539	Ensembl
MLK3	MAP3K11	4296	ChemblInteractions
ENSG00000146856	AGBL3	340351	Ensembl
SMAD4	SMAD4	4089	Tempus
N-formyl peptide receptor	FPR1	2357	TTD
ABHD16A	ABHD16A	7920	GO
ENSG00000105374	NKG7	4818	Ensembl
ENSG00000234332	BCAS2P2	100421045	Ensembl
VAMP2	VAMP2	6844	NCI
OR4C46	OR4C46	119749	Pharos
ENSG00000135617	PRADC1	84279	HingoraniCasas
ENSG00000236791	OR2AI1P	134082	Ensembl
ENSG00000170967	DDI1	414301	Ensembl
ENSG00000270983			Ensembl
ENSG00000273497			Ensembl
ENSG00000259937			Ensembl
ENSG00000116857	TMEM9	252839	Ensembl
MAP4K5	MAP4K5	11183	dGene
ENSG00000284081	MIR1199	102466515	Ensembl
HNF1B	HNF1B	6928	GO
BE0009394	TBK1	29110	DrugBank
ENSG00000224405	LINC00572	100861573	Ensembl
ENSG00000282164	PEG13	359809	Ensembl
ENSG00000108465	CDK5RAP3	80279	Ensembl
9578	CDC42BPB	9578	GuideToPharmacology
ENSG00000175302	ANKRD30BP1	642460	Ensembl
DNAI2	DNAI2	64446	GO
ENSG00000263512	MIR4311	100422905	Ensembl
ENSG00000276019	HULC	728655	Ensembl
ENSG00000259514			Ensembl
ENSG00000170113	NIPA1	123606	Ensembl
ENSG00000211964	IGHV3-48	28424	Ensembl
JOSD2	JOSD2	126119	dGene
8745	ADAM23	8745	GuideToPharmacology
ENSG00000164823	OSGIN2	734	Ensembl
ENSG00000275846			Ensembl
ENSG00000223189	RNU6-177P	106481232	Ensembl
ENSG00000137077	CCL21	6366	Ensembl
ENSG00000137804	NUSAP1	51203	Ensembl
PMPCA	PMPCA	23203	dGene
ENSG00000259542			Ensembl
ENSG00000196284	SUPT3H	8464	Ensembl
ENSG00000228501	RPL15P18	728088	Ensembl
ENSG00000182816	KRTAP13-2	337959	Ensembl
ENSG00000112472	RXRB	6257	RussLampel
ENSG00000226928	RPS14P4	100132382	Ensembl
ENSG00000263588			Ensembl
ENSG00000267321	LINC02001	105371743	Ensembl
P21918	DRD5	1816	TEND
P0C2W1	FBXO45	200933	HopkinsGroom
ENSG00000200209			Ensembl
ENSG00000219642	BMPR1APS1	100421515	Ensembl
ENSG00000236330	RPL5P9	100270832	Ensembl
ENSG00000200601	RNA5SP50	106478992	Ensembl
ENSG00000104957	CCDC130	81576	Ensembl
ENSG00000099866	MADCAM1	8174	Ensembl
ENSG00000233014	TBC1D3P7	106480773	Ensembl
SSTR1	SSTR1	6751	DTC
ENSG00000231579	RPL7P21	729123	Ensembl
XPO1	XPO1	7514	PharmGKB
ENSG00000114857	NKTR	4820	RussLampel
ENSG00000131778	CHD1L	9557	Ensembl
MRGPRE	MRGPRE	116534	dGene
MAP2K4	MAP2K4	6416	Pharos
Complement factor D	CFD	1675	TTD
CLU	CLU	1191	GO
ENSG00000253647			Ensembl
ENSG00000279521			Ensembl
ENSG00000240954	RPL4P1	650808	Ensembl
TXGP1	TNFSF4	7292	ChemblInteractions
ENSG00000250665			Ensembl
ENSG00000254984	FTLP6	100462788	Ensembl
ATF2	ATF2	1386	Pharos
ENSG00000272070			Ensembl
Q9HCC0	MCCC2	64087	HopkinsGroom
ENSG00000228709			Ensembl
ENSG00000270280			Ensembl
8558	CDK10	8558	GuideToPharmacology
ENSG00000101282	RSPO4	343637	Ensembl
ENSG00000256971	LINC00508	104472718	Ensembl
ENSG00000243864	RPS3AP50	100271601	Ensembl
GATA3	GATA3	2625	MskImpact
ENSG00000228887	EEF1DP1	126037	Ensembl
ENSG00000173237	C11ORF86	254439	Ensembl
ENSG00000080608	PUM3	9933	Ensembl
ENSG00000189357	SPATA31D4	389761	Ensembl
ENSG00000145912	NHP2	55651	Ensembl
ENSG00000271209	BRDTP1	643486	Ensembl
ENSG00000254890			Ensembl
ENSG00000253560			Ensembl
ENSG00000238719	RNU7-96P	106480361	Ensembl
ENSG00000235575			Ensembl
284086	NEK8	284086	GuideToPharmacology
ENSG00000132613	MTSS1L	92154	Ensembl
ENSG00000199609	RNA5SP124	100873394	Ensembl
ENSG00000287466			Ensembl
FOXF1	FOXF1	2294	Pharos
ENSG00000225705			Ensembl
ENSG00000265031	MIR1273E	100526648	Ensembl
ENSG00000255482			Ensembl
ENSG00000229191			Ensembl
ENSG00000279732			Ensembl
SMARCD1	SMARCD1	6602	Pharos
ENSG00000173369	C1QB	713	Ensembl
ENSG00000203441	LINC00449	106478991	Ensembl
MAT2A	MAT2A	4144	Pharos
ENSG00000286622			Ensembl
FOXL1	FOXL1	2300	Pharos
ENSG00000265218			Ensembl
ENSG00000238242			Ensembl
ENSG00000265126			Ensembl
ENSG00000164216	TSSK1B	83942	RussLampel
ENSG00000241563	CORT	1325	HingoraniCasas
BE0002131	FGFR1	2260	DrugBank
ENSG00000274808	TBC1D3B	414059	Ensembl
ENSG00000180926	OR7E18P	390885	Ensembl
ENSG00000219163	HMGB1P20	100128227	Ensembl
ENSG00000227981			Ensembl
ENSG00000264735			Ensembl
OR1A1	OR1A1	8383	dGene
ENSG00000285520			Ensembl
ENSG00000234017			Ensembl
ENSG00000259047			Ensembl
ENSG00000140279	DUOX2	50506	Ensembl
CALHM6	CALHM6	441168	Pharos
ENSG00000225816	GTF3AP5	100128217	Ensembl
ENSG00000285878			Ensembl
ENSG00000199570	RNU6-228P	106479668	Ensembl
ENSG00000255786			Ensembl
ENSG00000254574			Ensembl
ENSG00000173221	GLRX	2745	Ensembl
ENSG00000115756	HPCAL1	3241	Ensembl
ENSG00000163909	HEYL	26508	Ensembl
ENSG00000226742	HSBP1L1	440498	Ensembl
ENSG00000138669	PRKG2	5593	Ensembl
26503	SLC17A5	26503	GuideToPharmacology
BE0000059	HSD3B2	3284	DrugBank
ENSG00000244267	RPL34P22	100271498	Ensembl
ENSG00000258792			Ensembl
OR2L13	OR2L13	284521	dGene
ENSG00000237337			Ensembl
ENSG00000274044	LINC01660	729461	Ensembl
ENSG00000183431	SF3A3	10946	Ensembl
CSF1R	CSF1R	1436	DoCM
ENSG00000272028	RNU6-87P	106481204	Ensembl
ENSG00000237828	PA2G4P1	389884	Ensembl
ENSG00000282625	MRPL57P8	359732	Ensembl
O43557	TNFSF14	8740	TdgClinicalTrial
ENSG00000232105	RPL32P28	100133193	Ensembl
ENSG00000228658			Ensembl
P32246	CCR1	1230	TdgClinicalTrial
ENSG00000180432	CYP8B1	1582	HingoraniCasas
WNK4	WNK4	65266	GO
ENSG00000276189	TP73-AS1	57212	Ensembl
ENSG00000285528			Ensembl
ENSG00000156787	TBC1D31	93594	Ensembl
ENSG00000216548			Ensembl
ENSG00000276598	MIR6893	102466271	Ensembl
ENSG00000259496			Ensembl
ENSG00000272896			Ensembl
COASY	COASY	80347	HumanProteinAtlas
PDHA1	PDHA1	5160	HumanProteinAtlas
ENSG00000110031	LPXN	9404	Ensembl
ENSG00000270699			Ensembl
ENSG00000127481	UBR4	23352	Ensembl
ENSG00000243711	RPL21P116	100271444	Ensembl
ENSG00000244193			Ensembl
SAT1	SAT1	6303	Pharos
ENSG00000218577			Ensembl
ENSG00000137486	ARRB1	408	Ensembl
DUSP10	DUSP10	11221	GO
PKCE	PRKCE	5581	ChemblInteractions
ENSG00000226661			Ensembl
BE0000422	ANXA1	301	DrugBank
ENSG00000227437	RPS8P4	646119	Ensembl
ENSG00000085265	FCN1	2219	HingoraniCasas
ENSG00000177738			Ensembl
ENSG00000123496	IL13RA2	3598	Ensembl
